order_id,category,state
C300581,big_tubing,active
C424294,big_chinstrap,active
C165687,small_chinstrap,active
C696253,big_disposable,deleted
C967824,big_mask,deleted
C628944,big_headgear,active
C035962,small_tubing,active
C963278,medium_headgear,active
C222487,medium_disposable,active
C212550,unknown_headgear,active
C032306,small_mask,active
C145137,medium_pillows,active
C921807,small_disposable,active
C126767,small_headgear,deleted
C289566,medium_tubing,active
C439738,medium_mask,active
C732380,small_pillows,active
C494738,medium_chinstrap,active
C069987,big_pillows,deleted
