order_id,category,state
C165687,small_chinstrap,active
C424294,big_chinstrap,active
C289566,medium_tubing,active
C126767,small_headgear,deleted
C035962,small_tubing,active
C212550,unknown_headgear,active
C145137,medium_pillows,active
C921807,small_disposable,active
C300581,big_tubing,active
C732380,small_pillows,active
C222487,medium_disposable,active
C628944,big_headgear,active
C313224,unknown_chinstrap,active
C069987,big_pillows,deleted
C961976,unknown_disposable,deleted
C439738,medium_mask,active
C215152,unknown_mask,active
C696253,big_disposable,active
C663390,unknown_tubing,deleted
C963278,medium_headgear,active
C967824,big_mask,active
C494738,medium_chinstrap,active
C032306,small_mask,active
